Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Wayne Ellington\ellinwa01,SG,46,.441,2.5,.612,.800,1.8,1.5,0.4,0.2,0.7,9.6
Joel Embiid\embiijo01,C,51,.513,1.1,.545,.859,10.6,2.8,1.0,1.4,3.1,28.5
James Ennis\ennisja01,SF,41,.473,1.1,.566,.805,4.0,1.5,0.8,0.2,0.9,8.4
Drew Eubanks\eubandr01,C,54,.566,0.0,.571,.726,4.5,0.8,0.3,0.9,0.8,5.8
Dante Exum\exumda01,SG,6,.385,0.3,.423,.500,2.8,2.2,0.7,0.3,1.2,3.8
Tacko Fall\fallta01,C,19,.724,0.0,.724,.333,2.7,0.2,0.1,1.1,0.3,2.5
Derrick Favors\favorde01,C,68,.638,0.0,.638,.738,5.5,0.6,0.5,1.0,0.5,5.4
Cristiano Felício\feliccr01,C,18,.538,0.0,.538,.563,1.4,0.5,0.2,0.0,0.2,1.3
Terrance Ferguson\fergute01,SG,13,.143,0.0,.143,,0.1,0.2,0.1,0.0,0.3,0.2
Bruno Fernando\fernabr01,C,33,.409,0.0,.409,.682,2.4,0.3,0.1,0.1,0.6,1.5
Yogi Ferrell\ferreyo01,PG,10,.351,0.9,.430,.778,1.9,2.2,0.7,0.3,0.3,5.6
Dorian Finney-Smith\finnedo01,PF,60,.472,2.0,.600,.756,5.4,1.7,0.9,0.4,0.8,9.8
Malik Fitts\fittsma01,PF,3,.333,0.3,.500,,1.0,0.0,0.0,0.0,0.0,1.0
Malachi Flynn\flynnma01,PG,47,.374,1.1,.453,.804,2.5,2.9,0.8,0.1,0.9,7.5
Bryn Forbes\forbebr01,SG,70,.473,2.2,.618,.770,1.6,0.6,0.3,0.0,0.6,10.0
Trent Forrest\forretr01,PG,30,.451,0.2,.486,1.000,1.5,1.5,0.3,0.1,0.7,2.9
Evan Fournier\fournev01,SF-SG,42,.457,2.8,.565,.788,3.0,3.4,1.1,0.5,1.7,17.1
De'Aaron Fox\foxde01,PG,58,.477,1.8,.523,.719,3.5,7.2,1.5,0.5,3.0,25.2
Robert Franks\frankro01,PF,7,.464,0.7,.554,.923,2.0,0.7,0.4,0.4,0.3,6.1
Tim Frazier\fraziti01,PG,5,.150,0.0,.150,.333,1.6,3.2,0.4,0.2,0.8,1.6
Markelle Fultz\fultzma01,PG,8,.394,0.5,.413,.895,3.1,5.4,1.0,0.3,2.3,12.9
Wenyen Gabriel\gabriwe01,PF,21,.400,0.6,.508,.647,2.6,0.5,0.4,0.4,0.7,3.4
Daniel Gafford\gaffoda01,PF-C,54,.684,0.0,.684,.667,4.3,0.5,0.5,1.4,0.8,7.0
Danilo Gallinari\gallida01,PF,51,.434,2.0,.542,.925,4.1,1.5,0.6,0.2,0.8,13.3
Langston Galloway\gallola01,SG,40,.449,0.9,.571,.957,1.1,0.7,0.2,0.0,0.3,4.8
Darius Garland\garlada01,PG,54,.451,1.9,.517,.848,2.4,6.1,1.2,0.1,3.0,17.4
Marc Gasol\gasolma01,C,52,.454,1.0,.582,.720,4.1,2.1,0.5,1.1,1.0,5.0
Rudy Gay\gayru01,PF,63,.420,1.7,.505,.804,4.8,1.4,0.7,0.6,1.0,11.4
Paul George\georgpa01,SF,54,.467,3.2,.557,.868,6.6,5.2,1.1,0.4,3.3,23.3
Taj Gibson\gibsota01,PF,45,.627,0.1,.636,.727,5.6,0.8,0.7,1.1,0.5,5.4
Harry Giles\gilesha01,C,38,.433,0.2,.474,.593,3.5,0.8,0.2,0.3,0.5,2.8
Shai Gilgeous-Alexander\gilgesh01,SG,35,.508,2.0,.571,.808,4.7,5.9,0.8,0.7,3.0,23.7
Anthony Gill\gillan01,PF,26,.500,0.3,.558,.813,2.0,0.4,0.4,0.2,0.3,3.1
Freddie Gillespie\gillefr01,PF,20,.524,0.0,.524,.697,4.9,0.5,0.7,1.0,0.6,5.6
Rudy Gobert\goberru01,C,71,.675,0.0,.675,.623,13.5,1.3,0.6,2.7,1.7,14.3
Brandon Goodwin\goodwbr01,PG,47,.377,0.7,.448,.651,1.5,2.0,0.4,0.0,0.8,4.9
Aaron Gordon\gordoaa01,PF,50,.463,1.2,.522,.651,5.7,3.2,0.7,0.7,1.9,12.4
Eric Gordon\gordoer01,SG,27,.433,2.6,.527,.825,2.1,2.6,0.5,0.5,1.9,17.8
Devonte' Graham\grahade01,PG,55,.377,3.3,.510,.842,2.7,5.4,0.9,0.1,1.5,14.8
Jerami Grant\grantje01,SF,54,.429,2.1,.491,.845,4.6,2.8,0.6,1.1,2.0,22.3
Danny Green\greenda02,SF,69,.412,2.5,.573,.775,3.8,1.7,1.3,0.8,1.0,9.5
Draymond Green\greendr01,PF,63,.447,0.5,.492,.795,7.1,8.9,1.7,0.8,3.0,7.0
JaMychal Green\greenja01,PF,58,.463,1.4,.568,.807,4.8,0.9,0.4,0.4,0.9,8.1
Javonte Green\greenja02,SG-PG,41,.520,0.2,.569,.750,1.7,0.4,0.7,0.1,0.5,3.6
Jeff Green\greenje02,C,68,.492,1.5,.590,.776,3.9,1.6,0.5,0.4,0.8,11.0
Josh Green\greenjo02,SG,39,.452,0.1,.473,.565,2.0,0.7,0.4,0.1,0.4,2.6
Blake Griffin\griffbl01,PF,46,.423,1.5,.509,.744,4.9,3.0,0.7,0.3,1.3,11.0
Kyle Guy\guyky01,PG,31,.330,0.4,.403,.800,1.1,1.0,0.2,0.0,0.4,2.8
Rui Hachimura\hachiru01,PF,57,.478,0.8,.513,.770,5.5,1.4,0.8,0.1,1.2,13.8
Ashton Hagans\haganas01,PG,2,,0.0,,,0.0,0.0,0.0,0.0,0.5,0.0
Tyrese Haliburton\halibty01,PG,58,.472,2.1,.569,.857,3.0,5.3,1.3,0.5,1.6,13.0
Donta Hall\halldo01,PF,13,.714,0.0,.714,.676,4.8,0.8,0.4,0.8,0.6,5.6
Josh Hall\halljo01,SF,21,.303,0.2,.323,.500,2.8,1.3,0.2,0.0,1.2,4.1
R.J. Hampton\hamptrj01,SG-PG,51,.435,0.5,.478,.671,3.5,1.7,0.4,0.2,1.0,6.9
Tim Hardaway Jr.\hardati02,SG,70,.447,3.0,.560,.816,3.3,1.8,0.4,0.2,0.9,16.6
James Harden\hardeja01,PG-SG,44,.466,2.8,.548,.861,7.9,10.8,1.2,0.8,4.0,24.6
Maurice Harkless\harklma01,PF-SF,37,.418,0.6,.488,.767,2.4,1.2,0.8,0.5,0.6,5.2
Jared Harper\harpeja01,PG,8,.000,0.0,.000,.750,0.3,0.1,0.0,0.0,0.4,0.4
Montrezl Harrell\harremo01,C,69,.622,0.0,.622,.707,6.2,1.1,0.7,0.7,1.1,13.5
Gary Harris\harriga01,SG,39,.400,1.2,.470,.821,2.0,2.0,0.7,0.3,0.9,9.9
Jalen Harris\harrija01,SG,13,.500,1.3,.618,.778,1.4,1.3,0.6,0.0,1.1,7.4
Joe Harris\harrijo01,SF,69,.505,3.1,.654,.778,3.6,1.9,0.7,0.2,0.9,14.1
Tobias Harris\harrito02,PF,62,.512,1.3,.556,.892,6.8,3.5,0.9,0.8,1.7,19.5
Shaquille Harrison\harrish01,SG,34,.333,0.1,.353,.818,1.4,0.7,0.5,0.1,0.3,2.1
Josh Hart\hartjo01,SF,47,.439,1.3,.531,.775,8.0,2.3,0.8,0.3,1.0,9.2
Isaiah Hartenstein\harteis01,C,46,.550,0.0,.556,.648,3.9,1.2,0.4,0.8,1.0,5.1
Udonis Haslem\hasleud01,C,1,1.000,0.0,1.000,,1.0,0.0,0.0,0.0,0.0,4.0
Jaxson Hayes\hayesja02,C,60,.625,0.1,.636,.775,4.3,0.6,0.4,0.6,0.7,7.5
Killian Hayes\hayeski01,PG,26,.353,0.8,.403,.824,2.7,5.3,1.0,0.4,3.2,6.8
Gordon Hayward\haywago01,SF,44,.473,1.9,.537,.843,5.9,4.1,1.2,0.3,2.1,19.6
Juan Hernangómez\hernaju01,PF,52,.435,1.1,.527,.619,3.9,0.7,0.4,0.1,0.5,7.2
Willy Hernangómez\hernawi01,C,47,.563,0.0,.565,.667,7.1,1.1,0.5,0.5,0.7,7.8
Tyler Herro\herroty01,SG,54,.439,2.0,.516,.803,5.0,3.4,0.6,0.3,1.9,15.1
Buddy Hield\hieldbu01,SG,71,.406,4.0,.548,.846,4.7,3.6,0.9,0.4,1.8,16.6
George Hill\hillge01,PG,30,.482,1.0,.561,.800,2.0,2.4,0.8,0.2,1.0,8.7
Solomon Hill\hillso01,PF,71,.359,1.0,.473,.761,3.0,1.1,0.7,0.2,0.6,4.5
Nate Hinton\hintona01,SG,21,.357,0.2,.405,.700,0.4,0.4,0.3,0.1,0.2,2.0
Jaylen Hoard\hoardja01,SF,19,.500,0.0,.500,.683,3.4,1.3,0.7,0.3,0.9,6.1
Aaron Holiday\holidaa01,PG,66,.390,1.0,.467,.819,1.3,1.9,0.7,0.2,1.0,7.2
Jrue Holiday\holidjr01,PG,59,.503,1.9,.570,.787,4.5,6.1,1.6,0.6,2.2,17.7
Justin Holiday\holidju01,SG,72,.413,2.4,.551,.788,3.6,1.7,1.0,0.6,0.8,10.5
Rondae Hollis-Jefferson\holliro01,PF,11,.500,0.0,.500,.563,2.4,1.2,0.2,0.4,0.2,2.5
Richaun Holmes\holmeri01,C,61,.637,0.0,.638,.794,8.3,1.7,0.6,1.6,1.2,14.2
Rodney Hood\hoodro01,SF,55,.362,0.6,.427,.857,1.9,1.0,0.4,0.1,0.7,4.5
Al Horford\horfoal01,C,28,.450,2.0,.528,.818,6.7,3.4,0.9,0.9,1.0,14.2
Talen Horton-Tucker\hortota01,SG,65,.458,0.6,.496,.775,2.6,2.8,1.0,0.3,1.6,9.0
Danuel House\houseda01,SF,36,.404,1.5,.504,.651,3.7,1.9,0.6,0.4,1.0,8.8
Dwight Howard\howardw01,C,69,.587,0.1,.596,.576,8.4,0.9,0.4,0.9,1.6,7.0
Markus Howard\howarma02,SG,37,.377,0.5,.462,.778,0.6,0.5,0.1,0.0,0.5,2.8
Kevin Huerter\huertke01,SG,69,.432,2.0,.528,.781,3.3,3.5,1.2,0.3,1.1,11.9
Elijah Hughes\hugheel01,SF,18,.333,0.4,.467,.750,0.5,0.3,0.1,0.1,0.3,1.7
De'Andre Hunter\huntede01,SF,23,.484,1.3,.546,.859,4.8,1.9,0.8,0.5,1.3,15.0
Chandler Hutchison\hutchch01,SF,25,.379,0.3,.417,.840,3.1,0.7,0.5,0.2,0.8,4.3
Serge Ibaka\ibakase01,C,41,.510,1.0,.563,.811,6.7,1.8,0.2,1.1,1.1,11.1
Andre Iguodala\iguodan01,SF,63,.383,1.0,.504,.658,3.5,2.3,0.9,0.6,1.1,4.4
Ersan İlyasova\ilyaser01,PF,17,.389,1.1,.556,1.000,1.7,0.2,0.6,0.2,0.5,3.8
Joe Ingles\inglejo01,SF,67,.489,2.7,.652,.844,3.6,4.7,0.7,0.2,1.7,12.1
Brandon Ingram\ingrabr01,SF,61,.466,2.3,.531,.878,4.9,4.9,0.7,0.6,2.5,23.8
Kyrie Irving\irvinky01,PG,54,.506,2.8,.576,.922,4.8,6.0,1.4,0.7,2.4,26.9
